osCislo,api,gis,http,nlp,pdf,python,site,tei,sum
F22B0199P,2,2,2,2,0,2,2,2,14
F21B0005K,2,0,2,2,2,0,0,2,10
F22B0118P,2,2,2,2,0,2,2,2,14
F22B0201P,2,2,2,2,0,2,0,2,12
F21B0164P,0,0,2,0,0,0,2,0,4
F22B0211P,2,2,2,2,0,2,2,2,14
F22B0030K,0,2,2,2,2,2,0,2,12
F21B0035K,0,0,1,0,0,0,0,2,3
F21B0022K,2,0,2,2,2,2,0,2,12
F21B0028K,2,0,2,0,0,0,0,2,6
F22B0185P,0,2,2,2,2,2,2,0,12
F22B0235P,0,0,2,0,0,2,0,0,4
F22B0198P,2,2,0,0,0,2,2,2,10
F21B0033K,2,0,2,1,0,0,0,2,7
F20B0539P,2,2,2,2,0,2,2,2,14
F22B0248P,0,2,2,2,0,2,2,2,12
F21B0040K,2,0,2,2,2,0,0,2,10
F21B0206P,2,2,2,2,0,2,2,2,14
F22B0267P,0,2,0,0,0,2,2,0,6
F22B0273P,2,2,2,2,0,0,0,2,10
